customer_name,industry,tier,contact_email,asset_type,asset_value,criticality
Yahoo,technology,enterprise,security@yahoo.com,domain,yahoo.com,critical
Yahoo,technology,enterprise,security@yahoo.com,subdomain,mail.yahoo.com,critical
Yahoo,technology,enterprise,security@yahoo.com,subdomain,login.yahoo.com,critical
Yahoo,technology,enterprise,security@yahoo.com,subdomain,sports.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,subdomain,finance.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,subdomain,news.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,subdomain,api.yahoo.com,critical
Yahoo,technology,enterprise,security@yahoo.com,subdomain,m.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,subdomain,developer.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,subdomain,ads.yahoo.com,medium
Yahoo,technology,enterprise,security@yahoo.com,subdomain,search.yahoo.com,high
Yahoo,technology,enterprise,security@yahoo.com,email_domain,yahoo.com,critical
Yahoo,technology,enterprise,security@yahoo.com,keyword,yahoo,critical
Yahoo,technology,enterprise,security@yahoo.com,brand_name,Yahoo,critical
Yahoo,technology,enterprise,security@yahoo.com,brand_name,Yahoo Mail,critical
Yahoo,technology,enterprise,security@yahoo.com,brand_name,Yahoo Finance,high
Yahoo,technology,enterprise,security@yahoo.com,org_name,Yahoo Inc,high
Shopify,technology,premium,security@shopify.com,domain,shopify.com,critical
Shopify,technology,premium,security@shopify.com,subdomain,accounts.shopify.com,critical
Shopify,technology,premium,security@shopify.com,subdomain,admin.shopify.com,critical
Shopify,technology,premium,security@shopify.com,subdomain,apps.shopify.com,high
Shopify,technology,premium,security@shopify.com,subdomain,cdn.shopify.com,high
Shopify,technology,premium,security@shopify.com,subdomain,partners.shopify.com,high
Shopify,technology,premium,security@shopify.com,subdomain,help.shopify.com,medium
Shopify,technology,premium,security@shopify.com,subdomain,checkout.shopify.com,critical
Shopify,technology,premium,security@shopify.com,subdomain,api.shopify.com,critical
Shopify,technology,premium,security@shopify.com,subdomain,themes.shopify.com,medium
Shopify,technology,premium,security@shopify.com,email_domain,shopify.com,critical
Shopify,technology,premium,security@shopify.com,keyword,shopify,critical
Shopify,technology,premium,security@shopify.com,brand_name,Shopify,critical
Shopify,technology,premium,security@shopify.com,brand_name,Shopify Payments,high
Shopify,technology,premium,security@shopify.com,org_name,Shopify Inc,high
Shopify,technology,premium,security@shopify.com,github_org,Shopify,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,domain,vulnweb.com,critical
VulnWeb Demo,technology,standard,admin@vulnweb.com,subdomain,testphp.vulnweb.com,critical
VulnWeb Demo,technology,standard,admin@vulnweb.com,subdomain,testhtml5.vulnweb.com,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,subdomain,testasp.vulnweb.com,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,subdomain,testaspnet.vulnweb.com,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,subdomain,rest.vulnweb.com,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,email_domain,vulnweb.com,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,keyword,vulnweb,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,keyword,acunetix,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,brand_name,VulnWeb,high
VulnWeb Demo,technology,standard,admin@vulnweb.com,brand_name,Acunetix,high
Uber,transportation,enterprise,security@uber.com,domain,uber.com,critical
Uber,transportation,enterprise,security@uber.com,subdomain,auth.uber.com,critical
Uber,transportation,enterprise,security@uber.com,subdomain,riders.uber.com,critical
Uber,transportation,enterprise,security@uber.com,subdomain,drivers.uber.com,critical
Uber,transportation,enterprise,security@uber.com,subdomain,developer.uber.com,high
Uber,transportation,enterprise,security@uber.com,subdomain,api.uber.com,critical
Uber,transportation,enterprise,security@uber.com,subdomain,m.uber.com,high
